"","ensembl_id","gene_name"
"248","ENSMUSG00000038174","Fam126b"
"249","ENSMUSG00000026032","Ndufb3"
"250","ENSMUSG00000047528","Als2cr12"
"251","ENSMUSG00000026031","Cflar"
"252","ENSMUSG00000026029","Casp8"
"253","ENSMUSG00000026028","Trak2"
"254","ENSMUSG00000026027","Stradb"
"255","ENSMUSG00000072295","Als2cr11"
"256","ENSMUSG00000038079","Tmem237"
"257","ENSMUSG00000079550","Mpp4"
"258","ENSMUSG00000026024","Als2"
"259","ENSMUSG00000026023","Cdk15"
"260","ENSMUSG00000041075","Fzd7"
"261","ENSMUSG00000047361","Gm973"
"262","ENSMUSG00000026021","Sumo1"
"263","ENSMUSG00000026020","Nop58"
"264","ENSMUSG00000067336","Bmpr2"
"265","ENSMUSG00000041040","Fam117b"
"266","ENSMUSG00000026018","Ica1l"
"267","ENSMUSG00000026019","Wdr12"
"268","ENSMUSG00000026017","Carf"
"269","ENSMUSG00000073664","Nbeal1"
"270","ENSMUSG00000049439","Cyp20a1"
"271","ENSMUSG00000026782","Abi2"
"272","ENSMUSG00000026014","Raph1"
"273","ENSMUSG00000026012","Cd28"
"274","ENSMUSG00000026011","Ctla4"
"275","ENSMUSG00000026009","Icos"
"276","ENSMUSG00000052062","Pard3b"
"277","ENSMUSG00000025969","Nrp2"
"278","ENSMUSG00000040865","Ino80d"
"279","ENSMUSG00000025968","Ndufs1"
"280","ENSMUSG00000025967","Eef1b2"
"281","ENSMUSG00000046856","Gpr1"
"282","ENSMUSG00000027520","Zdbf2"
"283","ENSMUSG00000025964","Adam23"
"284","ENSMUSG00000069085","Dytn"
"285","ENSMUSG00000025963","Mdh1b"
"286","ENSMUSG00000025962","Fastkd2"
"287","ENSMUSG00000025959","Klf7"
"288","ENSMUSG00000025958","Creb1"
"289","ENSMUSG00000025956","Mettl21a"
"290","ENSMUSG00000070871","Ccnyl1"
"291","ENSMUSG00000045005","Fzd5"
"292","ENSMUSG00000051344","Plekhm3"
"293","ENSMUSG00000025955","Akr1cl"
"294","ENSMUSG00000070870","Cryge"
"295","ENSMUSG00000067299","Crygd"
"296","ENSMUSG00000025952","Crygc"
